Entity Name,Location,Description,Website
The Growcer,Ottawa,"The Growcer builds automated vertical farms for remote communities. Your systems engineering skills are valuable for their integrated climate control and automation. This role uses technology to address food security in harsh environments.",https://www.thegrowcer.ca/
Ingenium,Ottawa,"Ingenium digitizes Canada's scientific heritage using 3D scanning. Your photogrammetry expertise can help preserve historic artifacts in digital form. This role applies technical rigor to museum conservation.",https://ingeniumcanada.org/
True North Archaeological,Ottawa,"True North conducts archaeological assessments, increasingly using tech like photogrammetry. Your ability to create 3D site maps from drone data is a modern asset to their work. This role connects engineering tools with historical discovery.",http://www.truenortharchaeology.com/
LHC Heritage Planning,Kingston/Ottawa,"LHC manages cultural resources and heritage planning. Your understanding of digital documentation can enhance their heritage recording services. This role applies spatial technology to the preservation of the built environment.",https://lhcheritage.com/
VizPix Studio,Ottawa,Specializes in high-fidelity 3D architectural visualization using Unreal Engine 5. This role aligns with your simulation expertise; the skills required to build photorealistic "digital twins" for architecture are identical to creating synthetic training environments for autonomous robots in simulators like Gazebo or Isaac Sim. Your background in 3D reconstruction and lighting physics would allow you to automate the pipeline from raw CAD/scan data to immersive VR experiences.,https://www.vizpixstudio.com/
V3D Technologies,"Brampton, ON",Focuses on industrial metrology and reverse engineering using high-end 3D laser scanning. This is a direct application of your photogrammetry and point-cloud processing skills, specifically in registering multiple scans to create watertight CAD models for legacy aerospace or automotive parts. The role requires a deep understanding of geometric computer vision to troubleshoot alignment errors in complex mechanical assemblies.,https://www.v3dtech.com/
Lim Geomatics (Remsoft),Ottawa/Fredericton,Recently acquired by Remsoft, this firm develops the 'Prism' algorithm for processing airborne LiDAR data into forest inventories. Your expertise in Python and data structures is critical here for optimizing algorithms that segment individual tree stems from massive, noisy point clouds in unstructured environments. This position leverages your ability to handle large geospatial datasets and apply machine learning to biological classification tasks.,https://remsoft.com/
Kognitiv Spark,"Fredericton, NB",Developers of 'RemoteSpark', a mixed-reality platform for the Microsoft HoloLens that relies heavily on stable SLAM and Visual Odometry. Your thesis work on pose estimation is directly transferable here, as the software must maintain sub-centimeter state estimation of the user's head relative to industrial machinery without external markers. You would be working on the 'edge AI' optimization that allows these heavy computer vision tasks to run on mobile processors.,https://www.kognitivspark.com/
SomaDetect,"Fredericton, NB",Uses advanced optical sensors and deep learning computer vision to analyze raw milk quality in real-time. This role moves deep learning out of the cloud and onto the 'edge' of the milking line, requiring models that are robust to extreme noise and variable lighting conditions. Your background in signal processing and sensor fusion would be vital for correlating light-scattering data with biological indicators like somatic cell counts.,https://somadetect.com/
In Nature Robotics,"Hanwell, NB",Builds solar-powered autonomous airboats for water monitoring that must navigate dynamic wind and current conditions. This is a pure Guidance, Navigation, and Control (GNC) challenge where your aerospace knowledge of fluid dynamics and control theory (PID/LQR) applies directly to surface vessel station-keeping. The role involves integrating GPS-RTK and IMU data to maintain precise path-following in outdoor, unstructured environments.,https://www.innaturerobotics.com/
Canadian LiDAR and Mapping,"Saint John, NB",Specializes in mobile mapping and SLAM scanner training (using GeoSLAM and Livox systems). Your background would allow you to serve as a technical lead, validating the accuracy of different SLAM algorithms (e.g., LIO-SAM) against survey-grade benchmarks. This role bridges the gap between field acquisition and algorithmic post-processing, ideal for someone who understands the math behind the 'drift' in varying sensor payloads.,https://canadianlidar.ca/
COVE (Centre for Ocean Ventures),"Dartmouth, NS",A high-density hub hosting 60+ marine tech companies, serving as the 'Silicon Valley' of ocean robotics. This is not a single employer but a target-rich environment where your specific mix of GNC and perception skills is in high demand for AUVs, USVs, and subsea sensors. Networking here allows you to pitch your 'aerospace-to-ocean' transferability to multiple startups simultaneously.,https://coveocean.com/
Spiri Robotics,"Dartmouth, NS",Develops autonomous drone systems for defense with a focus on 'detect-and-avoid' machine vision. This directly utilizes your deep learning experience for object detection in high-stakes, real-time scenarios where latency is critical. Your ability to write efficient C++ code for onboard flight computers would be a major asset in deploying their proprietary autopilot stacks.,https://spirirobotics.com/
Dartmouth Ocean Technologies (DOT),"Dartmouth, NS",Manufactures autonomous Lab-on-a-Chip (LOC) sensors and eDNA samplers that can be deployed on AUVs or gliders. While hardware-focused, they require embedded software engineers to automate the sampling logic based on environmental triggers (e.g., 'sample when chlorophyll spikes'). This aligns with your desire to move closer to firmware and embedded control systems in a research-heavy context.,https://www.dartmouthocean.com/
EcoMarine Technologies,"Halifax, NS",Developing the 'OmniBot', a magnetic crawling robot for autonomous ship hull cleaning. This robot faces the classic 'unstructured terrain' challenge of navigating curved, biofouled steel hulls while maintaining adhesion. Your skills in robotic kinematics and sensor fusion (visual-inertial odometry) are essential for ensuring the robot covers 100% of the hull without getting lost or detached.,https://www.ecomarine.tech/
JASCO Applied Sciences,Halifax/Dartmouth,A world leader in underwater acoustics that now integrates AI-powered detection onto autonomous gliders and USVs. Your deep learning expertise would be applied to 'listening' rather than 'seeing', training models to detect marine mammal vocalizations from noisy hydrophone data. This requires the same mathematical rigor as image processing (spectrogram analysis) but applied to the preservation of marine life.,https://www.jasco.com/
Marecomms Inc.,"Halifax, NS",Developing underwater wireless communication systems that enable multi-agent coordination between AUVs. This solves the 'GPS-denied' communication problem, requiring robust error-correction algorithms similar to deep space communications. Your systems engineering background would support the integration of these acoustic modems into broader robotic swarms.,http://marecomms.ca/
Aurora ROV Systems,"Herring Cove, NS",Specializes in hybrid AUV/ROV systems like the 'Fusion', which combines autonomous path-following with manual intervention. This system requires sophisticated control logic to switch seamlessly between autonomous behaviors and human-in-the-loop control. Your understanding of state estimation ensures that the vehicle maintains its localization solution even during erratic maneuvers.,http://www.aurorarov.ca/
Thompson Conn Ltd.,"Halifax, NS",A major land surveying firm that utilizes photogrammetric data capture and 3D modeling for large infrastructure. This is an 'application' role where your deep understanding of the SfM pipeline (bundle adjustment, camera calibration) would allow you to optimize their workflows for higher accuracy. It offers a stable entry point into the geospatial industry while leveraging your specific thesis work.,https://www.tcl.ca/
Eastcan Geomatics,"Halifax, NS",Focuses on aerial triangulation and GIS processing, often handling massive datasets for utility corridors. Your ability to script in Python to automate data processing pipelines would be a significant differentiator here. The role involves 'ground truthing' satellite and aerial data, a direct match for your experience in verifying remote sensing outputs.,https://www.eastcan.ca/
SDMM (Servant Dunbrack McKenzie & MacDonald),"Halifax, NS",Uses 3D laser scanning to create 'Digital Twins' of heritage buildings, preserving complex geometries. This niche application of photogrammetry requires managing point clouds with billions of points, applying your knowledge of data structures to optimize storage and visualization. It is a precise, metrology-focused role that values the rigour of an engineering background.,https://sdmm.ca/
Epco Services Inc.,"Halifax, NS",Specializes in 3D laser scanning for heritage site documentation and forensic analysis. Similar to SDMM, this role prioritizes the accuracy of 3D reconstruction, often fusing laser scan data with photogrammetry to create textured meshes. Your expertise in 'unstructured' 3D data is key here, as you are modeling organic decay and irregular historical masonry rather than perfect CAD geometries.,https://epcosolutions.net/
IMP Aerospace & Defence,"Halifax, NS",A major defense contractor providing engineering support for the P-3 Orion and other maritime patrol aircraft. While a larger firm, their work on mission systems integration involves complex sensor suites (radar, EO/IR) that require rigorous validation. Your background in 'Model Validation & Verification (V&V)' makes you a strong candidate for ensuring these critical systems perform as predicted.,https://www.impaerospace.com/
Irving Shipbuilding,"Halifax, NS",The prime contractor for Canada's combat vessel fleet, increasingly integrating modern combat systems and sensors. They require systems engineers who understand the integration of radar, sonar, and weapon systems into a cohesive 'ship brain'. Your aerospace systems engineering experience is directly transferable to this high-complexity maritime environment.,https://www.shipsforcanada.ca/
Lockheed Martin Canada,"Halifax, NS",The developer of the CMS 330 Combat Management System, the software heart of the Navy's frigates. This is a pure 'Sensor Fusion' environment, where tracks from radar, sonar, and data links must be correlated in real-time. Your ambition to learn C++ and real-time systems would be well-supported here in a rigorous, standard-compliant engineering culture.,https://www.lockheedmartin.com/en-ca/
Invest Nova Scotia,"Halifax, NS",The provincial economic development agency that funds and supports the ocean tech startup ecosystem. While not an engineering role, connecting with them provides intelligence on which stealth-mode startups have just received funding. This is a strategic networking node to find companies before they list jobs on LinkedIn.,https://investnovascotia.ca/
C-CORE,"St. John's, NL",A semi-autonomous R&D corporation specializing in remote sensing and ice engineering for harsh environments. They process satellite radar (SAR) data to detect icebergs, a problem almost identical to your thesis work on object detection in sparse/noisy data. This is a premier research environment where you can apply deep learning to Earth Observation data.,https://c-core.ca/
Virtual Marine,"St. John's, NL",Develops physics-based maritime simulators for lifeboat and fast-craft training. They need engineers to build the 'physics engine' that simulates wave dynamics and vessel interaction, mirroring the simulation work done in aerospace. Your proficiency in modeling complex dynamics would allow you to improve the fidelity of their 'digital ocean'.,https://virtualmarine.ca/
GRi Simulations,"St. John's, NL",Focuses on high-fidelity ROV simulators and digital twins for subsea operations. This is a direct crossover with your interest in 'robotics simulation'; you would be building the training grounds for pilots to learn complex manipulator tasks. It involves integrating real-time physics with 3D visualization, bridging your skills in dynamics and computer graphics.,https://grisim.com/
Landmark Surveys,"Grand Falls-Windsor, NL",A survey firm leveraging drone LiDAR for hydrography and topography in rugged Newfoundland terrain. This role requires an engineer who can troubleshoot UAV payloads in the field and process data in GPS-challenged environments. It offers a hands-on opportunity to apply 'field robotics' principles in a commercial setting.,http://www.landmarksurveys.ca/
Edwards & Associates,Newfoundland,Specializes in Reality Capture and converting photogrammetry/scans into engineering-grade 3D CAD models. This 'Scan-to-BIM' workflow requires a keen eye for geometric detail and the ability to interpret noisy point cloud data. Your background ensures you understand the error margins and limitations of the sensing technology being used.,https://www.edwardsandassociates.ca/
RPM Aerial Services,Newfoundland,Provides aerial LiDAR and photogrammetry specifically for forestry and mining sectors. This aligns with your interest in 'unstructured environments', as the data processing involves filtering out vegetation to find ground truth. It is a direct application of your Master's thesis skills to the resource extraction industry.,https://rpmaerialinc.ca/
Digital Offshore Canada,Newfoundland,A consortium developing digital twin platforms for the offshore energy sector. This involves fusing data from subsea sensors, ROVs, and structural monitors to create a real-time virtual model of an oil rig or wind farm. Your systems engineering mindset is crucial for architecting how these disparate data streams come together into a usable UI.,https://techcdn.ca/
MarineNav Ltd.,Prince Edward Island,Manufactures the 'Oceanus' line of ROVs and rugged marine computers. This is a hardware-centric role where you could work on the embedded control systems that drive the thrusters and read the sensors. It offers the chance to get 'low level' with C++ and firmware, satisfying your desire to move closer to the metal.,https://www.marinenav.ca/
Volatus Aerospace,"Lake Simcoe / Barrie, ON",A major drone manufacturer and service provider that integrates LiDAR and photogrammetry sensors for agriculture and forestry. They are actively R&D focused, developing new payload integrations for industrial inspections. Your expertise in 'sensor fusion' would be applied to synchronizing IMU, GPS, and camera data for high-precision mapping.,https://volatusaerospace.com/
Effective Automation Systems,"Barrie, ON",Provides turnkey robotic automation and custom equipment for manufacturing. While often factory-focused, the move towards 'flexible automation' requires vision-guided robots that can handle variable parts. Your computer vision skills would enable their systems to 'see' and adapt to unstructured bin-picking scenarios.,https://www.effectiveautomation.com/
Linear Transfer Automation,"Barrie, ON",Specializes in press transfer technology, moving parts between massive stamping presses with high speed. This requires extreme precision in motion control and trajectory planning to avoid collisions. Your background in dynamics and control theory is directly applicable to optimizing these servo-driven systems.,https://lineartransfer.com/
Advanced Motion & Controls,"Barrie, ON",A major distributor of machine vision systems (Cognex certified) and automation components. This role would position you as an 'Application Engineer', helping other companies solve their vision problems. It is a fantastic way to see a breadth of problems across the industry and become an expert in deploying commercial vision hardware.,https://www.advancedmotion.com/
Innovative Automation,"Barrie, ON",A custom machine builder known for the 'RoboTape' system, integrating vision for precise application. They tackle complex integration challenges where off-the-shelf robots aren't enough, requiring custom end-effectors and control logic. Your ability to 'experiment with new ideas' fits their R&D approach to building bespoke automation solutions.,https://innovativeautomation.com/
Northway/Photomap,"Barrie, ON",An established aerial survey firm specializing in photogrammetric mapping. They deal with large-scale aerial triangulation and orthomosaic generation. Your thesis work on photogrammetry pipelines makes you an instant fit for optimizing their processing workflow or implementing newer deep-learning based feature matching techniques.,http://www.northwayphotomap.com/
Drone Survey Canada,"Barrie, ON",Focuses on drone photogrammetry with extensive in-house GIS and CAD processing. This is a smaller, agile team where you would likely own the entire 'pixel-to-polygon' pipeline. Your ability to automate data processing using Python would add immense value to their operational efficiency.,https://dronesurveycanada.ca/
Waabi,Toronto / Remote,An AI-first autonomous trucking company founded by Raquel Urtasun, focusing heavily on generative simulation. They are building the 'Waabi World' simulator, which requires high-fidelity sensor modeling and physics. Your background in simulation and deep learning makes you a strong candidate for their simulation or perception teams.,https://waabi.ai/
Ecopia AI,"Toronto, ON",Uses deep learning to extract vector maps (buildings, roads) from satellite imagery at a global scale. This is 'Computer Vision on Earth Observation data', a perfect match for your skills in semantic segmentation and instance segmentation. You would be working on the algorithms that turn pixels into structured geospatial intelligence.,https://www.ecopiatech.com/
University of Toronto Institute for Aerospace Studies (UTIAS),"Toronto, ON",A world-renowned research hub for space robotics and autonomy (home of the Mobile Robotics Group). While academic, they often hire research engineers for specific projects like the 'Dark Navigation' challenge. This is the 'purest' application of your GNC and SLAM interests in a research setting.,https://www.utias.utoronto.ca/
MARZ,"Toronto, ON",A VFX studio that developed 'Vanity AI', a machine learning tool for automated rotoscoping and digital makeup. They are pioneers in applying deep learning to high-fidelity image processing. Your understanding of 'deep feature detection' could be pivoted here to solve complex image tracking and segmentation problems in film.,https://monstersaliensrobotszombies.com/
Musashi AI North America,"Waterloo, ON",Develops 'AI Quality Assurance' systems for manufacturing, detecting defects that human eyes miss. This is applied computer vision in a high-speed, real-world environment. Your experience in 'Model Validation & Verification' is critical here, ensuring that the AI doesn't reject good parts or pass bad ones.,https://musashiamericas.com/
Avidrone Aerospace,"Waterloo, ON",Builds fully autonomous industrial eVTOL cargo drones with a proprietary autopilot system. They need engineers who understand flight dynamics and GNC to tune their control loops for heavy-lift operations. This is a direct match for your desire to work on 'guidance navigation and control' for novel airframes.,https://avidroneaerospace.com/
Aeromao,"Waterloo, ON",Manufactures turnkey fixed-wing drones specifically for mapping and surveying. Their systems fly long-endurance missions, requiring robust onboard logic and reliable telemetry. Your aerospace engineering degree provides the aerodynamic understanding needed to optimize their flight planning and stability control.,https://aeromao.com/
Croptracker Inc.,Eastern Ontario,Develops 'Harvest Quality Vision', using computer vision on mobile devices to size and grade fruit in the bin. This brings deep learning to the 'edge' (the farmer's iPad), analyzing unstructured piles of produce. Your ability to optimize models for mobile deployment fits perfectly with their tech stack.,https://www.croptracker.com/
Rodeo FX,"Montreal, QC",A top-tier visual effects studio that utilizes photogrammetry to create hyper-realistic digital assets. The skills you used to reconstruct a spacecraft from photos are identical to those used to reconstruct a movie set. This role offers a creative application of your technical skills in 'Structure from Motion' and 3D geometry.,https://www.rodeofx.com/
FOLKS VFX,"Montreal, QC",Another major VFX player where 'Matchmove' and 'Camera Tracking' are essential tasks. These are essentially 'SLAM' problems solved in post-production—determining the camera's path through space based on visual features. Your deep understanding of bundle adjustment and multi-view geometry makes you technically overqualified and highly capable for these roles.,https://folksvfx.com/
Image Engine,"Vancouver, BC",Famous for creature effects, they rely on complex physical simulations and photogrammetry. They often hire 'R&D Engineers' to build the tools artists use, requiring C++ and Python skills. This allows you to work on the physics engines and rendering algorithms that underpin modern cinema.,https://image-engine.com/
LiDAR Services International,"Calgary, AB",Specializes in airborne LiDAR data acquisition and processing for large-scale engineering projects. They deal with the fusion of GNSS, IMU, and laser data to create survey-grade point clouds. Your background in sensor fusion and state estimation is the core theoretical knowledge required to troubleshoot their navigation solutions.,https://www.lidarservices.com/
National Research Council Canada (NRC),Ottawa / National,Canada's premier federal research organization with a dedicated Aerospace Research Centre. They work on everything from bio-inspired drones to reducing airframe icing. A position here would allow you to continue publishing research while applying your GNC skills to national-scale aviation challenges.,https://nrc.canada.ca/
Defence Research and Development Canada (DRDC),Ottawa / National,The science wing of the DND, actively researching autonomous systems for defense. They have specific groups focused on 'contest environment navigation' and 'trusted AI'. Your work on robust perception in noisy environments aligns with their need for systems that function when GPS is jammed or sensors are degraded.,https://www.canada.ca/en/defence-research-development.html
Canadian Space Agency (CSA),"St-Hubert, QC",Manages Canada's contribution to the Lunar Gateway (Canadarm3) and lunar rover programs. They hire engineers to oversee the technical requirements of these massive robotic systems. Your thesis on 'Resident Space Objects' is directly relevant to their Space Situational Awareness and orbital robotics mandates.,https://www.asc-csa.gc.ca/
Canadian Intellectual Property Office (CIPO),"Gatineau, QC",Hires engineers as Patent Examiners to review new inventions in aerospace and robotics. This role offers a unique 'macro' view of the industry, where you analyze the novelty of new algorithms and mechanisms. It is a stable, well-paid government role that leverages your broad technical knowledge without the pressure of shipping code.,https://ised-isde.canada.ca/site/canadian-intellectual-property-office/en
Atlantic Laser Scanning Services,Atlantic Canada,Specialists in SLAM scanning using Rock R2A and Livox LiDAR systems for drones and handheld mapping. This matches your desire to work with 'new forms of mobile robotics' in the field. You would be the technical expert ensuring that SLAM algorithms hold together in complex, feature-poor environments like forests or tunnels.,https://www.atlanticlaserscanning.com/
Sumac Geomatics,"Thunder Bay, ON",Focuses on forest inventory mapping using UAV photogrammetry in Northern Ontario. This requires processing data from vast, unstructured wilderness areas to extract precise metrics. Your skills in Python automation could revolutionize their data pipeline, moving them from manual processing to automated AI-driven analysis.,https://mineconnect.com/corporate-members/sumac-geomatics/
Point Cloud Solutions,National,A distributor of GeoSLAM technology that also designs point cloud workflows for clients. This role is a mix of technical consulting and sales engineering, where you explain the limits of SLAM technology to surveyors. It offers deep exposure to the 'business' side of the 3D mapping industry while keeping your technical skills sharp.,https://pointcloudsolutions.ca/
Mission Control Space Services,Ottawa,"A direct match for your thesis, focused on 'Spacefarer AI' for lunar terrain classification. They actively develop deep learning models for 'semantics-aware navigation' on flight-ready hardware. This role allows you to transition from Python prototyping to C++ flight software in a mission-critical context.",https://missioncontrol.ca
Obruta Space Solutions,Ottawa,"Your former employer, specializing in on-orbit servicing and autonomous docking. As you know, this requires rigorous GNC and pose estimation capabilities. Continuing here or leveraging this network positions you as a specialist in 'Rendezvous and Proximity Operations' (RPO).",https://www.obruta.com
InDro Robotics,Ottawa (Area X.O),"Managers of the Area X.O drone test track, they act as the 'hub' for Ottawa's field robotics. They integrate heterogenous swarms of UAVs and UGVs, requiring complex multi-agent control logic. Your background fits their need for engineers who can validate experimental platforms in real-world, outdoor conditions.",https://indrorobotics.com
Provectus Robotics Solutions (Rheinmetall),Ottawa (Nepean),"Specializes in 'A-Kits' that convert standard military vehicles into autonomous robots. This is heavy-duty field robotics, requiring perception systems that work through mud, dust, and rain. Your deep learning experience would be applied to 'negative obstacle detection' (finding ditches) in unstructured terrain.",https://provectus-robotics.com
SmartCone Technologies,Ottawa (Area X.O),"Focuses on IoT sensor fusion for smart cities, integrating LiDAR and thermal cameras to track pedestrians. This is a 'static SLAM' problem—mapping moving agents from a fixed point. Your sensor fusion skills are critical for creating a coherent 'world model' from disparate, noisy sensor streams.",https://thesmartcone.com
AutoGuardian,Ottawa,"A subsidiary of SmartCone focused on AI for vulnerable road user detection. This involves low-latency object detection at the edge to trigger safety warnings. Your expertise in 'Model V&V' ensures that these safety-critical AI models perform reliably in all weather conditions.",https://autoguardian.ca
Gastops,Ottawa,"Develops intelligent sensors for propulsion health monitoring, effectively 'computer vision for engines'. They use optical sensors to detect microscopic debris in oil. Your signal processing and data analysis skills would be used to predict catastrophic engine failures before they happen.",https://www.gastops.com
Dominion Dynamics,Ottawa,"Explicitly seeks engineers with skills in 'Visual Odometry, SLAM, and Multi-view Geometry'. They function as a specialized R&D shop for complex guidance problems. This is likely the most direct 'skill match' for your specific desire to work on the algorithms of autonomous perception.",https://www.dominion-dynamics.com
Calian,Ottawa,"A massive systems integrator with divisions in advanced manufacturing, nuclear, and space. They often hold the prime contracts for CSA projects, filtering work down to smaller players. A systems engineering role here offers stability and exposure to massive, multi-year engineering programs.",https://www.calian.com
Ross Video,Ottawa,"Operates a world-class robotics division for camera motion systems (furio, cam-bot). These robots require extremely smooth, jitter-free motion control for broadcast TV. Your knowledge of kinematics and control theory (spline interpolation, vibration dampening) is exactly what makes these robots 'broadcast quality'.",https://www.rossvideo.com
BlackBerry QNX,Ottawa (Kanata),"The industry standard for Real-Time Operating Systems (RTOS) in automotive autonomy. Working here teaches you the 'plumbing' of robotics—how to write safety-critical C code that never crashes. It is the best place to learn the rigorous software standards (ISO 26262) required for commercial autonomous vehicles.",https://blackberry.qnx.com
Hexagon | AutonomouStuff,Ottawa (Area X.O),"Provides the 'platforms' for autonomy, integrating by-wire kits and sensors onto vehicles. They are the enablers of the industry, helping other startups get their code running on wheels. A role here involves constant hands-on integration of new LiDARs and radars, giving you broad exposure to the hardware market.",https://hexagon.com
General Dynamics Mission Systems,Ottawa,"Focuses on land systems and 'vetronics' (vehicle electronics) for the Canadian Army. They are integrating more autonomy and situational awareness into armored vehicles. Your background in sensor fusion is vital for providing crews with a 360-degree digital view of the battlefield.",https://gdmissionsystems.ca
Telesat,Ottawa,"Building 'Lightspeed', a massive LEO satellite constellation. This requires complex systems engineering to manage the constellation's orbital dynamics and network traffic. Your orbital mechanics knowledge helps optimize the 'geometry' of the network for maximum coverage.",https://www.telesat.com
NorthStar Earth & Space,Ottawa,"Specializes in Space Situational Awareness (SSA), tracking satellites and debris to prevent collisions. This is pure 'orbital mechanics meets big data'. Your thesis work on 'Resident Space Objects' makes you an ideal candidate for developing their tracking and conjunction analysis algorithms.",https://northstar-data.com
MDA,Ottawa,"The giant of Canadian space, now staffing up for Canadarm3 and Lunar Gateway. The Ottawa office (formerly Neptec) specializes in laser sensors and space vision systems. This is the 'major league' for space robotics, offering the chance to work on hardware that will actually go to the Moon.",https://mda.space
GHGSat,Ottawa,"Operates a constellation of satellites to monitor greenhouse gas leaks with high-resolution sensors. They need engineers to process this spectral data and manage satellite tasking. Your understanding of remote sensing physics helps convert raw pixel data into actionable methane concentration maps.",https://www.ghgsat.com
Magellan Aerospace,Ottawa,"The 'Advanced Technologies' group in Ottawa functions as a skunkworks for sounding rockets and new payloads. It offers a hands-on, R&D focused environment within a large aerospace firm. Your broad engineering skills would be used to prototype new spaceflight hardware concepts.",https://magellan.aero
FourD Robotics,Ottawa,"Focuses on perimeter security robots for unstructured environments like nuclear plants. Their robots must navigate snow, mud, and gravel autonomously. This aligns with your desire to move away from factory arms and into 'field robotics' where terrain interaction is a major challenge.",https://fourdrobotics.com
Sensor Cortek,Ottawa,"Specializes in using AI to clean up radar and LiDAR data for autonomous vehicles. They solve the 'perception in bad weather' problem using deep learning. Your background in filtering noisy data fits their mission to make autonomy reliable in rain and snow.",https://www.sensorcortek.ai
Aurrigo,Ottawa (Area X.O),"Deploys autonomous pods for first/last mile transit, with a test fleet at Area X.O. They need engineers to support the deployment and mapping of these vehicles in real-world conditions. This offers operational experience with passenger-carrying autonomous systems.",https://aurrigo.com
Pleora Technologies,Ottawa (Kanata),"A leader in 'GigE Vision' and AI visual inspection for manufacturing. They build the 'edge AI' cameras that inspect products on the line. Your deep learning optimization skills are needed to squeeze complex models onto their embedded hardware smart cameras.",https://www.pleora.com
Equispheres,Ottawa (Bayview),"Produces high-performance metal powders for aerospace 3D printing. While materials-focused, they use extensive data analysis to ensure powder quality. Your engineering background helps understand the end-use applications in rocket engines and turbine blades.",https://equispheres.com
Hyperlume,Ottawa (Kanata),"A deep tech startup working on optical interconnects and photonics for AI compute. They are building the 'hardware' that will train the next generation of AI models faster. Your understanding of high-performance computing requirements positions you well for this cutting-edge hardware role.",https://hyperlume.com
GaN Systems,Ottawa (Kanata),"Manufactures Gallium Nitride transistors that enable smaller, more efficient power electronics for EVs and aerospace. This is critical tech for weight-saving in drones and satellites. Your systems view helps articulate the value of their components to aerospace customers.",https://gansystems.com
Ranovus,Ottawa (Kanata),"Develops silicon photonics for high-speed data centers and AI clusters. Their laser technology is at the bleeding edge of physics and engineering. Working here puts you at the foundation of the AI infrastructure stack.",https://ranovus.com
The Growcer,Ottawa,"Builds modular vertical farming systems for remote communities. They are increasingly integrating automation and sensors to monitor plant health. Your 'systems engineering' skills are needed to integrate HVAC, nutrient dosing, and lighting into a cohesive, reliable product.",https://www.thegrowcer.ca
CIMS (Carleton Immersive Media),Ottawa,"A research lab dedicated to the digital preservation of heritage architecture. They use robotic arms to carve stone and photogrammetry to map buildings. This is a unique blend of 'art and engineering' that directly utilizes your specific thesis skills in 3D reconstruction.",https://carleton.ca/cims
Matrix Heritage,Ottawa,"A consulting firm that uses photogrammetry and drones to document archaeological sites. This transforms your technical skill (SfM) into a tool for cultural preservation. It offers a field-based role where you apply technology to uncover and document history.",https://matrixheritage.com
Point3D,Ottawa,"Provides high-end 3D laser scanning services for architecture and industry. They deal with the practicalities of capturing and processing massive point clouds. This role hones your 'metrology' skills, teaching you the limits of real-world sensing hardware.",https://point3d.ca
VGIS (VertiGIS),Ottawa,"Develops Augmented Reality tools for utilities, overlaying pipe data onto the real world. This requires rock-solid 'Visual-Inertial Odometry' (VIO) to keep the hologram locked in place. Your GNC background is perfect for tuning the tracking algorithms that make this AR illusion possible.",https://www.vgis.io
Arvizio,Ottawa,"Focuses on optimizing massive 3D models (BIM/CAD) for viewing in AR/VR headsets. They solve the 'big data' problem of spatial computing. Your experience with 3D data structures helps develop algorithms that decimate and stream models efficiently.",https://www.arvizio.io
Giatec Scientific,Ottawa,"Uses IoT sensors embedded in concrete to monitor curing strength via AI. They are bringing 'smart construction' to job sites. Your background in model validation is useful for refining their prediction algorithms based on real-world sensor data.",https://www.giatecscientific.com
Contextere,Ottawa,"Builds an 'Industrial AI' platform that guides workers through complex tasks using NLP and context awareness. It's about delivering the right engineering data to the human at the right time. Your understanding of complex technical systems helps design the logic flow for these smart assistants.",https://contextere.com
Bubble Technology Industries,Chalk River,"Develops radiation detection systems for space and defense, including lunar missions. They need engineers to integrate these sensitive instruments onto rovers and satellites. This is 'physics-heavy' engineering in a niche, high-importance field.",https://bubbletech.ca
Recon Aerial,Ottawa,"A drone service provider focused on industrial inspections and mapping. They apply photogrammetry to create digital twins of towers and buildings. This offers immediate 'field experience' in piloting and data processing.",https://reconaerialmedia.com
Refract Media,Ottawa,"A drone operations company serving various industries. They require skilled pilots who understand the technical deliverables (orthomosaics, point clouds). It is a hands-on role that keeps you involved in the operational side of robotics.",https://refractmedia.ca
Annis O'Sullivan Vollebekk (AOV),Ottawa,"A premier land surveying firm that has embraced LiDAR and photogrammetry. They use high-end sensors to map infrastructure with millimeter precision. Your engineering background allows you to push their data processing capabilities beyond standard software tools.",https://www.aovltd.com
Lim Geomatics,Ottawa,"Develops forestry software that processes LiDAR data to inventory trees. This is 'biological asset management' using geospatial data. Your Python skills are essential for customizing their algorithms to handle different forest types and sensor inputs.",https://limgeomatics.com
Ottawa Drones,Ottawa,"Specializes in using drones for heritage documentation and complex mapping. They combine piloting skill with photogrammetric rigour. This aligns with your interest in 'digital archaeology' and using robots for cultural preservation.",https://ottawadrones.com
VizPix Studio,Ottawa,"Creates high-end architectural visualizations using game engines (Unreal/Unity). This leverages 'simulation' skills to build photorealistic environments. It is a creative outlet for your 3D modeling and rendering expertise.",https://vizpixstudio.com
RidgeTech,Ottawa,"A control systems integrator for industrial automation. They program the PLCs and robots that run factories. This is 'foundational' robotics experience, teaching you the logic and safety standards of industrial control.",https://ridgetech.com
Forcen,Ottawa,"Develops paper-thin force sensing film for surgical robots and industrial grippers. This hardware gives robots the sense of 'touch'. Your understanding of physics and materials is key to integrating these sensors into robotic end-effectors.",https://forcenengineering.com
Robotics Centre Inc.,Ottawa,"A defense-focused company delivering unmanned systems and specialized payloads. They work on 'signals intelligence' and hardened navigation. This role involves integrating complex sensor packages onto tactical drones and robots.",https://robotics-centre.com
AVSS,Ottawa,"Builds parachute recovery systems for commercial drones. They solve the 'safety' problem for flight over people. Your engineering skills are needed to validate the deployment mechanics and ensure reliability in failure scenarios.",https://avss.co
